person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
2, coloured, 4, yes, 3, 1, 0.574654, 1
2, coloured, 4, yes, 4, 1, 0.335061, 1
2, coloured, 4, yes, 5, 1, 0.423938, 1
2, coloured, 5, no, 1, 0, 0.550556, -1
2, coloured, 5, no, 2, 0, 0.977948, -1
2, coloured, 5, no, 3, 0, 0.795304, -1
2, coloured, 5, no, 4, 0, 1.200320, -1
2, coloured, 5, no, 5, 0, 0.641256, -1
2, coloured, 6, yes, 1, 1, NaN, NaN
2, coloured, 6, yes, 2, 0, NaN, NaN
2, coloured, 6, yes, 3, 0, 0.746949, -1
2, coloured, 6, yes, 4, 0, 0.555322, -1
2, coloured, 6, yes, 5, 0, 0.799583, -1
2, coloured, 7, no, 1, 1, 0.295589, 1
2, coloured, 7, no, 2, 1, 0.592626, 1
2, coloured, 7, no, 3, 1, 0.499439, 1
2, coloured, 7, no, 4, 0, 0.411474, -1
2, coloured, 7, no, 5, 0, 0.474213, -1
2, coloured, 8, yes, 1, 1, NaN, NaN
2, coloured, 8, yes, 2, 0, NaN, NaN
2, coloured, 8, yes, 3, 1, 1.103705, 1
2, coloured, 8, yes, 4, 1, 0.921106, 1
2, coloured, 8, yes, 5, 1, 0.669359, 1
2, coloured, 9, no, 1, 0, 0.407468, -1
2, coloured, 9, no, 2, 0, 0.965495, -1
2, coloured, 9, no, 3, 1, 0.376165, 1
2, coloured, 9, no, 4, 0, 0.415589, -1
2, coloured, 9, no, 5, 0, 0.456106, -1
2, coloured, 10, yes, 1, 1, NaN, NaN
2, coloured, 10, yes, 2, 0, NaN, NaN
2, coloured, 10, yes, 3, 0, 0.403170, -1
2, coloured, 11, yes, 1, 0, NaN, NaN
2, coloured, 11, yes, 2, 1, NaN, NaN
2, coloured, 11, yes, 3, 0, 0.391436, -1
2, coloured, 12, no, 1, 1, 0.472465, 1
2, coloured, 12, no, 2, 0, 0.530195, -1
2, coloured, 12, no, 3, 0, 0.477245, -1
2, coloured, 12, no, 4, 1, 0.484211, 1
2, coloured, 13, no, 1, 0, 0.414432, -1
2, coloured, 13, no, 2, 1, 0.900299, 1
2, coloured, 13, no, 3, 0, 0.370129, -1
2, coloured, 13, no, 4, 0, 0.450873, -1
2, coloured, 13, no, 5, 0, 0.443630, -1
2, coloured, 14, no, 1, 0, 0.658798, -1
2, coloured, 14, no, 2, 1, 0.526885, 1
2, coloured, 14, no, 3, 1, 0.368337, -1
2, coloured, 14, no, 4, 1, 0.436495, 1
2, coloured, 14, no, 5, 1, 0.331435, 1
2, coloured, 15, no, 1, 1, 0.485275, 1
2, coloured, 15, no, 2, 0, 0.627349, -1
2, coloured, 15, no, 3, 1, 0.485690, 1
2, coloured, 16, no, 1, 0, 0.621772, 1
2, coloured, 16, no, 2, 1, 0.533314, 1
2, coloured, 16, no, 3, 1, 0.522585, -1
2, coloured, 16, no, 4, 1, 0.336365, 1
2, coloured, 16, no, 5, 0, 0.423086, -1
2, coloured, 17, yes, 1, 1, NaN, NaN
2, coloured, 17, yes, 2, 1, NaN, NaN
2, coloured, 17, yes, 3, 0, 0.435042, -1
2, coloured, 17, yes, 4, 1, 0.512103, 1
2, coloured, 18, no, 1, 1, 0.506484, 1
2, coloured, 18, no, 2, 1, 0.460278, 1
2, coloured, 18, no, 3, 0, 0.345556, -1
2, coloured, 18, no, 4, 0, 0.496883, -1
2, coloured, 19, no, 1, 0, 0.719955, -1
2, coloured, 19, no, 2, 0, 0.469281, -1
2, coloured, 19, no, 3, 0, 0.351002, -1
2, coloured, 19, no, 4, 0, 0.346320, -1
2, coloured, 19, no, 5, 0, 0.360300, -1
2, coloured, 20, no, 1, 1, 0.449042, 1
2, coloured, 20, no, 2, 1, 0.567172, 1
2, coloured, 20, no, 3, 0, 0.511699, -1
2, coloured, 21, no, 1, 0, 0.650672, -1
2, coloured, 21, no, 2, 1, 0.294096, 1
2, coloured, 21, no, 3, 1, 0.295889, 1
2, coloured, 21, no, 4, 0, 0.623928, -1
2, coloured, 22, yes, 1, 0, NaN, NaN
2, coloured, 22, yes, 2, 1, NaN, NaN
2, coloured, 22, yes, 3, 1, 0.456497, 1
2, coloured, 22, yes, 4, 0, 0.594836, -1
2, coloured, 23, yes, 1, 1, NaN, NaN
2, coloured, 23, yes, 2, 0, NaN, NaN
2, coloured, 23, yes, 3, 1, 0.543204, 1
2, coloured, 23, yes, 4, 1, 0.373215, 1
2, coloured, 23, yes, 5, 0, 0.486851, -1
2, coloured, 24, yes, 1, 0, NaN, NaN
2, coloured, 24, yes, 2, 1, NaN, NaN
2, coloured, 24, yes, 3, 0, 0.605501, -1
2, coloured, 24, yes, 4, 0, 0.590248, -1
2, coloured, 25, yes, 1, 1, NaN, NaN
2, coloured, 25, yes, 2, 0, NaN, NaN
